name,image,original pose,odometry,deviation (original - odometry),error
1,000000.png,0.0,0.0,0.0,
2,000001.png,0.0,0.0,0.0,
3,000002.png,1.716275,1.716275,0.0,0.0
4,000003.png,2.574964,2.718769906064745,-0.14380590606474497,5.584773459541375
5,000004.png,3.432648,3.5778056587828297,-0.14515765878282982,4.228737079445077
6,000005.png,4.291335,4.43789367258433,-0.1465586725843302,3.415223294949711
7,000006.png,5.148987,5.296786877511818,-0.1477998775118179,2.8704651519185793
8,000007.png,6.007777,6.154374643038813,-0.14659764303881317,2.44013123387924
9,000008.png,6.865477,7.012992803877575,-0.14751580387757457,2.14866066665979
10,000009.png,7.724036,7.871206430270266,-0.14717043027026566,1.905356607222774
11,000010.png,8.582886,8.730486845895182,-0.14760084589518208,1.7197111309084387
12,000011.png,9.440275,9.588442400331616,-0.1481674003316158,1.569524196399107
13,000012.png,10.29896,10.44743362126945,-0.14847362126945107,1.44163703198625
14,000013.png,11.15757,11.306939129736206,-0.14936912973620586,1.3387245586288579
15,000014.png,12.01541,12.165907974769201,-0.1504979747692019,1.2525413179342355
16,000015.png,12.86965,13.02061985047362,-0.15096985047362033,1.1730688128552083
17,000016.png,13.73146,13.883309206004217,-0.1518492060042167,1.1058489483581257
18,000017.png,14.60026,14.752139260143256,-0.15187926014325548,1.0402503800840224
19,000018.png,15.47957,15.631808747861449,-0.15223874786144798,0.9834817624872523
20,000019.png,16.3694,16.52126064343704,-0.15186064343703976,0.9277105051928584
21,000020.png,17.26896,17.42118902523508,-0.15222902523507997,0.881518199330359
22,000021.png,18.17318,18.32322179504228,-0.15004179504228077,0.825622125804514
23,000022.png,19.08411,19.23246354963625,-0.14835354963625136,0.7773668755642855
24,000023.png,19.99722,20.14317689360137,-0.14595689360137243,0.729885922150041
25,000024.png,20.91368,21.06057807889162,-0.14689807889162054,0.7024018675413439
26,000025.png,21.84042,21.987419974438524,-0.14699997443852197,0.6730638625013712
27,000026.png,22.77432,22.9220363214439,-0.14771632144390168,0.6486091415414453
28,000027.png,23.70953,23.85699236174928,-0.1474623617492803,0.6219539642889601
29,000028.png,24.65175,24.79735595101164,-0.14560595101163898,0.5906515805638098
30,000029.png,25.59694,25.7415877132271,-0.14464771322710135,0.5650976766250237
31,000030.png,26.54471,26.689538286458138,-0.1448282864581394,0.5456013136257258
