name,image,original pose,odometry,deviation (original - odometry),deviation,scale,error
0,000000.png,0.0,0.0,0.0,0.0,[],
1,000001.png,0.0,0.0,0.0,0.0,[],
2,000002.png,1.716275,1.716275,0.0,0.0,0.8593272951343508,0.0
3,000003.png,2.574964,2.718770002466126,-0.14380600246612607,0.14380600246612607,0.8604375314945432,5.584777203336671
4,000004.png,3.432648,3.577805759263283,-0.14515775926328311,0.14515775926328311,0.8594303561549744,4.228740006644524
5,000005.png,4.291335,4.437893745374874,-0.14655874537487357,0.14655874537487357,0.8604352755739623,3.4152249911711285
6,000006.png,5.148987,5.296786914526825,-0.14779991452682495,0.14779991452682495,0.8593980295193723,2.8704658707979833
7,000007.png,6.007777,6.15611260100689,-0.14833560100688992,0.14833560100688992,0.8605382312593032,2.4690597038952995
8,000008.png,6.865477,7.014703127803417,-0.14922612780341638,0.14922612780341638,0.8594458686079657,2.1735726127028956
9,000009.png,7.724036,7.872867576854773,-0.14883157685477322,0.14883157685477322,0.8603064855493124,1.926862806630798
10,000010.png,8.582886,8.732093433310833,-0.14920743331083308,0.14920743331083308,0.8605979454453111,1.738429629740312
11,000011.png,9.440275,9.589998681112414,-0.1497236811124143,0.1497236811124143,0.8591338309164989,1.5860097413731518
12,000012.png,10.29896,10.44893320092096,-0.1499732009209609,0.1499732009209609,0.8604323432237826,1.4561975279150603
13,000013.png,11.15757,11.308394651991005,-0.15082465199100525,0.15082465199100525,0.8603570585825695,1.3517697132171724
14,000014.png,12.01541,12.167339164425158,-0.1519291644251588,0.1519291644251588,0.8595925592571222,1.2644526023261695
15,000015.png,12.86965,13.021999954738845,-0.15234995473884538,0.15234995473884538,0.8558709757184264,1.1837925253510808
16,000016.png,13.73146,13.884642750621353,-0.15318275062135278,0.15318275062135278,0.8636670402163615,1.115560549434312
17,000017.png,14.60026,14.75340611428406,-0.1531461142840591,0.1531461142840591,0.8707243304701037,1.0489273087195647
18,000018.png,15.47957,15.633125797030857,-0.1535557970308563,0.1535557970308563,0.8816147302827979,0.9919900683989045
19,000019.png,16.3694,16.52250899622381,-0.15310899622381058,0.15310899622381058,0.8919222529251115,0.9353366416839383
20,000020.png,17.26896,17.422377494857187,-0.15341749485718736,0.15341749485718736,0.9017212569254713,0.8884003139574553
21,000021.png,18.17318,18.324310657049985,-0.15113065704998618,0.15113065704998618,0.9061650813918662,0.8316137134501843
22,000022.png,19.08411,19.233460785624267,-0.14935078562426796,0.14935078562426796,0.9130454314025128,0.7825923536610718
23,000023.png,19.99722,20.14407980316425,-0.14685980316425074,0.14685980316425074,0.9151001350739488,0.7344010975738164
24,000024.png,20.91368,21.06142877292954,-0.14774877292953903,0.14774877292953903,0.9185072472037503,0.7064695114850138
25,000025.png,21.84042,21.988208957000193,-0.14778895700019135,0.14778895700019135,0.9286963158188442,0.6766763505472484
26,000026.png,22.77432,22.922770879706402,-0.14845087970640236,0.14845087970640236,0.9361470997125162,0.6518345211027261
27,000027.png,23.70953,23.85750665418917,-0.1479766541891685,0.1479766541891685,0.9373331218277537,0.624123102352381
28,000028.png,24.65175,24.79773467951153,-0.14598467951153182,0.14598467951153182,0.9440082354918351,0.5921878954294597
29,000029.png,25.59694,25.74187496049621,-0.14493496049621157,0.14493496049621157,0.9468808970873582,0.5662198704072111
30,000030.png,26.54471,26.689763505549564,-0.14505350554956564,0.14505350554956564,0.9494282507733837,0.5464497655071976
31,000031.png,27.49627,27.63813030713359,-0.14186030713359088,0.14186030713359088,0.953304292280991,0.515925640581762
32,000032.png,28.45466,28.595330627095745,-0.1406706270957443,0.1406706270957443,0.9600350121662244,0.49436762588533584
33,000033.png,29.42293,29.562904723535983,-0.13997472353598184,0.13997472353598184,0.9698696057297654,0.47573346208546136
34,000034.png,30.39839,30.537705632397092,-0.13931563239709277,0.13931563239709277,0.9770302922243949,0.45829937834567147
35,000035.png,31.37765,31.513493368529133,-0.1358433685291338,0.1358433685291338,0.9808297460826165,0.43293034541826375
36,000036.png,32.35714,32.490280176570145,-0.13314017657014432,0.13314017657014432,0.9806181847538847,0.41147078069985266
37,000037.png,33.33631,33.469251165773464,-0.1329411657734667,0.1329411657734667,0.9805704148810491,0.3987878855622195
38,000038.png,34.32021,34.453177669681644,-0.13296766968164064,0.13296766968164064,0.985830712024134,0.3874325643160127
39,000039.png,35.33097,35.465903143748285,-0.13493314374828458,0.13493314374828458,1.0133524519065396,0.38191180074672326
40,000040.png,36.38751,36.523855114591065,-0.1363451145910659,0.1363451145910659,1.0604483140860739,0.3747030631968659
41,000041.png,37.4285,37.564583780765695,-0.13608378076569494,0.13608378076569494,1.044633825550849,0.3635833142276472
42,000042.png,38.47151,38.608146293743744,-0.13663629374374153,0.13663629374374153,1.0465413210294208,0.35516228435988484
43,000043.png,39.50365,39.64028605468075,-0.1366360546807499,0.1366360546807499,1.0350626550581352,0.34588210122545615
44,000044.png,40.53855,40.67496252091625,-0.13641252091625233,0.13641252091625233,1.0378776040213031,0.336500740446445
45,000045.png,41.56111,41.698120138871246,-0.13701013887124702,0.13701013887124702,1.0257773769103105,0.3296594794298011
46,000046.png,42.58303,42.71815475274969,-0.1351247527496895,0.1351247527496895,1.0248615916639685,0.31732066212688365
47,000047.png,43.59302,43.72622835597594,-0.13320835597593828,0.13320835597593828,1.0125195944750915,0.30557267190008464
48,000048.png,44.5979,44.73158058937403,-0.1336805893740305,0.1336805893740305,1.0079138655867375,0.29974637678911
49,000049.png,45.59882,45.73289302521226,-0.13407302521225972,0.13407302521225972,1.0036559284864517,0.29402740073593947
50,000050.png,46.59803,46.73232738666172,-0.13429738666172142,0.13429738666172142,1.0016961350459508,0.2882040006020027
51,000051.png,47.59275,47.7263522430431,-0.1336022430431001,0.1336022430431001,0.9976280354971996,0.2807197378657465
52,000052.png,48.57856,48.71041345112187,-0.13185345112187008,0.13185345112187008,0.9890364065311253,0.27142313630101444
53,000053.png,49.556,49.68251098203732,-0.12651098203732403,0.12651098203732403,0.980540773159377,0.2552889297710147
54,000054.png,50.53773,50.66538927426887,-0.12765927426886492,0.12765927426886492,0.9844870122886394,0.25260191597221504
55,000055.png,51.51845,51.64342882203467,-0.12497882203467015,0.12497882203467015,0.9835644659222883,0.24259041573391696
56,000056.png,52.49501,52.6184727171645,-0.12346271716450019,0.12346271716450019,0.9791459422706088,0.23518943450910895
57,000057.png,53.46498,53.58843588650954,-0.12345588650953943,0.12345588650953943,0.972597605605727,0.23090981519031606
58,000058.png,54.42804,54.548353886158694,-0.12031388615869076,0.12031388615869076,0.9654274173825866,0.22105129297084877
59,000059.png,55.39178,55.51207480399022,-0.12029480399021963,0.12029480399021963,0.9658499045928353,0.21717085818549184
