name,image,original pose,odometry,deviation (original - odometry),error
1,000000.png,0.0,0.0,0.0,
2,000001.png,0.0,0.0,0.0,
3,000002.png,1.716275,1.716275,0.0,0.0
4,000003.png,2.574964,2.7194590631002846,-0.1444950631002846,5.611537213735205
5,000004.png,3.432648,3.578415958486664,-0.14576795848666402,4.246516347923353
6,000005.png,4.291335,4.43846128061591,-0.14712628061591015,3.428450135352056
7,000006.png,5.148987,5.296984853541735,-0.14799785354173522,2.874310102972395
8,000007.png,6.007777,6.157098570671128,-0.14932157067112772,2.485471259521246
9,000008.png,6.865477,7.015198458462757,-0.14972145846275708,2.180787415976444
10,000009.png,7.724036,7.875299848736127,-0.15126384873612686,1.9583524563599506
11,000010.png,8.582886,8.734877422231767,-0.15199142223176665,1.7708661425978003
12,000011.png,9.440275,9.59161242252557,-0.15133742252556992,1.6031039617550327
13,000012.png,10.29896,10.451240293950026,-0.1522802939500263,1.4785987512333896
14,000013.png,11.15757,11.310194923123145,-0.15262492312314535,1.3679046882353896
15,000014.png,12.01541,12.16863186753375,-0.15322186753375,1.27521131225443
16,000015.png,12.86965,13.02324740715457,-0.15359740715456915,1.1934855039147854
17,000016.png,13.73146,13.883824147429475,-0.15236414742947524,1.1095990333837424
18,000017.png,14.60026,14.751626073659406,-0.15136607365940513,1.0367354667615858
19,000018.png,15.47957,15.632447998221183,-0.1528779982211823,0.9876114014871363
20,000019.png,16.3694,16.522527528069546,-0.15312752806954677,0.935449851977145
21,000020.png,17.26896,17.422947402036126,-0.15398740203612604,0.8917004963595148
22,000021.png,18.17318,18.326399291458188,-0.15321929145818913,0.8431066629956294
23,000022.png,19.08411,19.237041496257802,-0.15293149625780345,0.8013551392116449
24,000023.png,19.99722,20.145695482385246,-0.14847548238524766,0.7424806167319641
25,000024.png,20.91368,21.062665840078477,-0.1489858400784776,0.7123846213506069
26,000025.png,21.84042,21.98836861811611,-0.14794861811610716,0.6774073855544314
27,000026.png,22.77432,22.921860693729855,-0.14754069372985512,0.6478379759740581
28,000027.png,23.70953,23.857417913199058,-0.1478879131990567,0.6237488182981978
29,000028.png,24.65175,24.798913993072347,-0.14716399307234695,0.5969717893145394
30,000029.png,25.59694,25.742523406880874,-0.14558340688087412,0.5687531669053962
31,000030.png,26.54471,26.69012699451945,-0.14541699451945078,0.54781911167781
