name,image,original pose,odometry,deviation (original - odometry),deviation,error
1,000000.png,0.0,0.0,0.0,0.0,
2,000001.png,0.0,0.0,0.0,0.0,
3,000002.png,-0.09374345,-0.09374345,0.0,0.0,-0.0
4,000003.png,-0.1406429,-0.03109527779978468,-0.1095476222002153,0.1095476222002153,-77.8906167323166
5,000004.png,-0.1874858,-0.05189627923017395,-0.13558952076982606,0.13558952076982606,-72.31988810343293
6,000005.png,-0.2343818,-0.056994207362344874,-0.17738759263765513,0.17738759263765513,-75.68317703748974
7,000006.png,-0.2812195,-0.0857116292840413,-0.1955078707159587,0.1955078707159587,-69.52144880278883
8,000007.png,-0.3281178,-0.13039480230647602,-0.197722997693524,0.197722997693524,-60.259759663609834
9,000008.png,-0.3749547,-0.16848197929285397,-0.206472720707146,0.206472720707146,-55.066044166707606
10,000009.png,-0.4218367,-0.22396851286803723,-0.19786818713196277,0.19786818713196277,-46.906347203067625
11,000010.png,-0.4687329,-0.27253286652334663,-0.19620003347665338,0.19620003347665338,-41.85753410453019
12,000011.png,-0.5155474,-0.3176116210863688,-0.19793577891363118,0.19793577891363118,-38.39332308021167
13,000012.png,-0.562431,-0.36819332123668236,-0.19423767876331766,0.19423767876331766,-34.53537923110882
14,000013.png,-0.6093087,-0.4064322798328831,-0.20287642016711693,0.20287642016711693,-33.296163367947464
15,000014.png,-0.6562052,-0.4308042681435796,-0.22540093185642046,0.22540093185642046,-34.34915356605227
16,000015.png,-0.7018788,-0.4762533612482447,-0.22562543875175534,0.22562543875175534,-32.14592587092748
17,000016.png,-0.7498241,-0.5179972596859997,-0.23182684031400025,0.23182684031400025,-30.91749655872627
18,000017.png,-0.7992511,-0.5761837705065038,-0.22306732949349617,0.22306732949349617,-27.909543007635047
19,000018.png,-0.8546642,-0.5295634569712224,-0.32510074302877756,0.32510074302877756,-38.03841824997205
20,000019.png,-0.9072868,-0.591109943210612,-0.3161768567893879,0.3161768567893879,-34.84861201434739
21,000020.png,-0.9609163,-0.6457639365950294,-0.31515236340497055,0.31515236340497055,-32.79706707077095
22,000021.png,-1.011589,-0.7329206605172018,-0.27866833948279823,0.27866833948279823,-27.547584985878476
23,000022.png,-1.066256,-0.8149067338413039,-0.25134926615869624,0.25134926615869624,-23.573069334071388
24,000023.png,-1.118651,-0.9008288094049066,-0.21782219059509345,0.21782219059509345,-19.471863038167704
25,000024.png,-1.17184,-0.9469213131297809,-0.2249186868702191,0.2249186868702191,-19.193634529476643
26,000025.png,-1.224279,-1.0032757081346309,-0.22100329186536904,0.22100329186536904,-18.05170977084219
27,000026.png,-1.280807,-1.0567601493440955,-0.22404685065590457,0.22404685065590457,-17.492631649882032
28,000027.png,-1.334841,-1.1216744446096472,-0.21316655539035279,0.21316655539035279,-15.96943421653611
29,000028.png,-1.385747,-1.206013062330703,-0.17973393766929702,0.17973393766929702,-12.970184143952467
30,000029.png,-1.436633,-1.277163809578454,-0.15946919042154595,0.15946919042154595,-11.100203769615897
31,000030.png,-1.487044,-1.3299977839489874,-0.15704621605101265,0.15704621605101265,-10.560966323189673
32,000031.png,-1.538025,-1.4268718242618272,-0.11115317573817274,0.11115317573817274,-7.227007086241949
33,000032.png,-1.586551,-1.5001702883587198,-0.08638071164128025,0.08638071164128025,-5.444559402205177
34,000033.png,-1.633363,-1.5653227872191513,-0.0680402127808486,0.0680402127808486,-4.165651651277065
35,000034.png,-1.680971,-1.6299556917104696,-0.05101530828953038,0.05101530828953038,-3.034871410008286
36,000035.png,-1.728893,-1.7286414957501146,-0.00025150424988540365,0.00025150424988540365,-0.014547126391592983
37,000036.png,-1.768976,-1.8152323213578834,0.04625632135788327,0.04625632135788327,-2.6148642693786273
38,000037.png,-1.815834,-1.8709920801944044,0.05515808019440449,0.05515808019440449,-3.0376168853763335
39,000038.png,-1.870663,-1.9291215456132043,0.058458545613204294,0.058458545613204294,-3.125017473120722
40,000039.png,-1.92978,-1.958841564036992,0.029061564036992005,0.029061564036992005,-1.5059521829945384
41,000040.png,-1.993748,-2.0307779964474575,0.037029996447457414,0.037029996447457414,-1.857305760179191
42,000041.png,-2.061112,-2.1202080652193134,0.05909606521931332,0.05909606521931332,-2.8671933024170118
43,000042.png,-2.126953,-2.193413706135947,0.06646070613594723,0.06646070613594723,-3.1246908669795355
44,000043.png,-2.190967,-2.270641236777322,0.079674236777322,0.079674236777322,-3.6364873034291247
45,000044.png,-2.256115,-2.3502903200580243,0.09417532005802443,0.09417532005802443,-4.174225163966573
46,000045.png,-2.32994,-2.4210520580297095,0.09111205802970934,0.09111205802970934,-3.9104894559391803
47,000046.png,-2.399728,-2.5192802123124967,0.11955221231249658,0.11955221231249658,-4.981906795790881
48,000047.png,-2.465214,-2.61352571998689,0.1483117199868902,0.1483117199868902,-6.016180339187194
49,000048.png,-2.535885,-2.6847788192628714,0.14889381926287149,0.14889381926287149,-5.8714736379162105
50,000049.png,-2.600016,-2.7532904213155422,0.15327442131554214,0.15327442131554214,-5.89513377285148
51,000050.png,-2.661881,-2.819387205283202,0.1575062052832017,0.1575062052832017,-5.917101676716641
52,000051.png,-2.728914,-2.903685665953983,0.17477166595398286,0.17477166595398286,-6.404440226184587
53,000052.png,-2.800794,-3.000378180634529,0.19958418063452932,0.19958418063452932,-7.125985725281094
54,000053.png,-2.871336,-3.128314626693542,0.2569786266935421,0.2569786266935421,-8.949792942851067
55,000054.png,-2.937935,-3.1843195190224773,0.24638451902247738,0.24638451902247738,-8.386316205854703
56,000055.png,-3.002463,-3.2874139200406964,0.28495092004069633,0.28495092004069633,-9.490572241546234
57,000056.png,-3.065844,-3.3753006453362944,0.3094566453362946,0.3094566453362946,-10.09368530611129
58,000057.png,-3.130185,-3.446737655502986,0.31655265550298584,0.31655265550298584,-10.112905643052594
59,000058.png,-3.19152,-3.548741848963051,0.357221848963051,0.357221848963051,-11.192843816208295
60,000059.png,-3.248811,-3.611397891447637,0.3625868914476369,0.3625868914476369,-11.16060280045952
61,000060.png,-3.310922,-3.6733267242626946,0.36240472426269443,0.36240472426269443,-10.94573427772368
62,000061.png,-3.371514,-3.7450715300078254,0.37355753000782554,0.37355753000782554,-11.079815477789074
63,000062.png,-3.438994,-3.8086547717280173,0.36966077172801715,0.36966077172801715,-10.74909615218919
64,000063.png,-3.511313,-3.8903910349028505,0.37907803490285064,0.37907803490285064,-10.795905545955335
65,000064.png,-3.579193,-3.9558927866232336,0.37669978662323356,0.37669978662323356,-10.52471287866381
66,000065.png,-3.641784,-4.0628053724063,0.42102137240629967,0.42102137240629967,-11.560855130515694
67,000066.png,-3.703384,-4.137922871454394,0.43453887145439385,0.43453887145439385,-11.733562370372445
68,000067.png,-3.776035,-4.20633977433185,0.4303047743318502,0.4303047743318502,-11.395677591225988
69,000068.png,-3.84394,-4.289189495343956,0.4452494953439565,0.4452494953439565,-11.583154142467274
70,000069.png,-3.912602,-4.393003221291387,0.48040122129138707,0.48040122129138707,-12.278305365365224
71,000070.png,-3.978228,-4.460949889821418,0.4827218898214176,0.4827218898214176,-12.134093114356885
72,000071.png,-4.046625,-4.547356460921795,0.500731460921795,0.500731460921795,-12.374051485417972
73,000072.png,-4.114442,-4.636196918420172,0.5217549184201715,0.5217549184201715,-12.681061451836516
74,000073.png,-4.179994,-4.747326348859255,0.5673323488592557,0.5673323488592557,-13.572563713231542
75,000074.png,-4.244856,-4.855031961209425,0.6101759612094249,0.6101759612094249,-14.374479633924562
76,000075.png,-4.313021,-4.929881128313092,0.6168601283130917,0.6168601283130917,-14.302275094721118
77,000076.png,-4.381935,-4.985315213269103,0.6033802132691024,0.6033802132691024,-13.769720757361814
78,000077.png,-4.44551,-5.054191155696853,0.6086811556968534,0.6086811556968534,-13.692043335789448
79,000078.png,-4.514875,-5.1454998132327985,0.6306248132327985,0.6306248132327985,-13.96771368493698
80,000079.png,-4.58021,-5.231432780665358,0.6512227806653579,0.6512227806653579,-14.21818608023121
81,000080.png,-4.644343,-5.289488579690314,0.6451455796903138,0.6451455796903138,-13.890997708186365
82,000081.png,-4.709494,-5.391113777312306,0.6816197773123056,0.6816197773123056,-14.473312362481098
83,000082.png,-4.77573,-5.497794223816729,0.7220642238167292,0.7220642238167292,-15.119452394015767
84,000083.png,-4.837515,-5.602337900013909,0.7648229000139093,0.7648229000139093,-15.81024348273668
85,000084.png,-4.891889,-5.6422114433138955,0.7503224433138955,0.7503224433138955,-15.338092162636876
86,000085.png,-4.937677,-5.709327079236959,0.7716500792369594,0.7716500792369594,-15.627795808372225
87,000086.png,-4.985837,-5.801923601642628,0.8160866016426276,0.8160866016426276,-16.36809630243884
88,000087.png,-5.039038,-5.859067239371836,0.820029239371836,0.820029239371836,-16.273527593398505
89,000088.png,-5.092732,-5.927025264703634,0.8342932647036339,0.8342932647036339,-16.382037474260063
90,000089.png,-5.133801,-5.968670325665056,0.8348693256650561,0.8348693256650561,-16.262206611924697
91,000090.png,-5.159772,-6.0172358481580535,0.8574638481580532,0.8574638481580532,-16.618250731971358
92,000091.png,-5.183357,-6.029851692705037,0.8464946927050372,0.8464946927050372,-16.331012753029306
93,000092.png,-5.208269,-6.045233376780097,0.8369643767800978,0.8369643767800978,-16.06991452976215
94,000093.png,-5.235209,-6.082034760132186,0.8468257601321856,0.8468257601321856,-16.17558649773458
95,000094.png,-5.248892,-6.03206095402735,0.7831689540273503,0.7831689540273503,-14.920652854494824
