name,image,original pose,odometry,deviation (original - odometry),error
1,000000.png,0.0,0.0,0.0,
2,000001.png,0.0,0.0,0.0,
3,000002.png,1.716275,1.716275,0.0,0.0
4,000003.png,2.574964,2.718770002466126,-0.14380600246612607,5.584777203336671
5,000004.png,3.432648,3.577805759263283,-0.14515775926328311,4.228740006644524
6,000005.png,4.291335,4.437893745374874,-0.14655874537487357,3.4152249911711285
7,000006.png,5.148987,5.296786914526825,-0.14779991452682495,2.8704658707979833
8,000007.png,6.007777,6.15611260100689,-0.14833560100688992,2.4690597038952995
9,000008.png,6.865477,7.014703127803417,-0.14922612780341638,2.1735726127028956
10,000009.png,7.724036,7.872867576854773,-0.14883157685477322,1.926862806630798
11,000010.png,8.582886,8.732093433310833,-0.14920743331083308,1.738429629740312
12,000011.png,9.440275,9.589998681112414,-0.1497236811124143,1.5860097413731518
13,000012.png,10.29896,10.44893320092096,-0.1499732009209609,1.4561975279150603
14,000013.png,11.15757,11.308394651991005,-0.15082465199100525,1.3517697132171724
15,000014.png,12.01541,12.167339164425158,-0.1519291644251588,1.2644526023261695
16,000015.png,12.86965,13.021999954738845,-0.15234995473884538,1.1837925253510808
17,000016.png,13.73146,13.884642750621353,-0.15318275062135278,1.115560549434312
18,000017.png,14.60026,14.75340611428406,-0.1531461142840591,1.0489273087195647
19,000018.png,15.47957,15.633125797030857,-0.1535557970308563,0.9919900683989045
20,000019.png,16.3694,16.52250899622381,-0.15310899622381058,0.9353366416839383
21,000020.png,17.26896,17.422377494857187,-0.15341749485718736,0.8884003139574553
22,000021.png,18.17318,18.324310657049985,-0.15113065704998618,0.8316137134501843
23,000022.png,19.08411,19.233460785624267,-0.14935078562426796,0.7825923536610718
24,000023.png,19.99722,20.14407980316425,-0.14685980316425074,0.7344010975738164
25,000024.png,20.91368,21.06142877292954,-0.14774877292953903,0.7064695114850138
26,000025.png,21.84042,21.988208957000193,-0.14778895700019135,0.6766763505472484
27,000026.png,22.77432,22.922770879706402,-0.14845087970640236,0.6518345211027261
28,000027.png,23.70953,23.85750665418917,-0.1479766541891685,0.624123102352381
29,000028.png,24.65175,24.79773467951153,-0.14598467951153182,0.5921878954294597
30,000029.png,25.59694,25.74187496049621,-0.14493496049621157,0.5662198704072111
31,000030.png,26.54471,26.689763505549564,-0.14505350554956564,0.5464497655071976
