name,image,original pose,odometry,deviation (original - odometry),error
1,000000.png,0.0,0.0,0.0,
2,000001.png,0.0,0.0,0.0,
3,000002.png,1.716275,1.716275,0.0,0.0
4,000003.png,2.574964,2.7180190075440516,-0.14305500754405154,5.5556119442466585
5,000004.png,3.432648,3.5746644315253704,-0.14201643152537047,4.137226756876046
6,000005.png,4.291335,4.434689237054277,-0.14335423705427708,3.3405510652111072
7,000006.png,5.148987,5.292640747780612,-0.14365374778061213,2.7899419396594345
8,000007.png,6.007777,6.151567271835258,-0.1437902718352584,2.393402282329361
9,000008.png,6.865477,7.00810668860395,-0.1426296886039493,2.077491317849427
10,000009.png,7.724036,7.86773423768677,-0.14369823768677037,1.8604035207341132
11,000010.png,8.582886,8.727853157139972,-0.14496715713997155,1.6890257792072685
12,000011.png,9.440275,9.585343132722807,-0.14506813272280716,1.5366939281197545
13,000012.png,10.29896,10.443660816157415,-0.1447008161574157,1.4050041572878786
14,000013.png,11.15757,11.299137889518079,-0.14156788951807897,1.268805748187813
15,000014.png,12.01541,12.154106956833685,-0.13869695683368555,1.1543256271212181
16,000015.png,12.86965,13.009115998172636,-0.1394659981726356,1.0836813601973294
17,000016.png,13.73146,13.871100132784902,-0.13964013278490128,1.016935801327035
18,000017.png,14.60026,14.73164470327397,-0.13138470327396945,0.8998792026578255
19,000018.png,15.47957,15.610492318530042,-0.13092231853004144,0.8457749054401476
20,000019.png,16.3694,16.50007036308071,-0.13067036308071067,0.7982599428244814
21,000020.png,17.26896,17.401505904235172,-0.13254590423517243,0.7675384286903927
22,000021.png,18.17318,18.305579758320263,-0.13239975832026474,0.728544802397075
23,000022.png,19.08411,19.21576675962855,-0.1316567596285516,0.6898763402042412
24,000023.png,19.99722,20.121106013386882,-0.12388601338688332,0.6195161796833927
25,000024.png,20.91368,21.034463339205946,-0.1207833392059463,0.5775326925053186
26,000025.png,21.84042,21.960119449261025,-0.11969944926102372,0.5480638616886658
27,000026.png,22.77432,22.89303466900807,-0.11871466900807093,0.521265482385735
28,000027.png,23.70953,23.829499931308685,-0.11996993130868461,0.5059987747909157
29,000028.png,24.65175,24.770881480205468,-0.11913148020546771,0.48325770059110496
30,000029.png,25.59694,25.714254443194875,-0.11731444319487494,0.45831432661433336
31,000030.png,26.54471,26.659137811314537,-0.11442781131453827,0.4310757635496424
